file_path,lable
full_intersection/aa/aa.wav,aa
full_intersection/aa/aa_pid1.wav,aa
full_intersection/aa/aa_pid2.wav,aa
full_intersection/aa/aa_pid3.wav,aa
full_intersection/aa/aa_pid4.wav,aa
full_intersection/aachen/aachen.wav,aachen
full_intersection/aachen/aachen_pid1.wav,aachen
full_intersection/aachen/aachen_pid2.wav,aachen
full_intersection/aachen/aachen_pid3.wav,aachen
full_intersection/aachen/aachen_pid4.wav,aachen
full_intersection/aback/aback.wav,aback
full_intersection/aback/aback_pid1.wav,aback
full_intersection/aback/aback_pid2.wav,aback
full_intersection/aback/aback_pid3.wav,aback
full_intersection/aback/aback_pid4.wav,aback
full_intersection/abacus/abacus.wav,abacus
full_intersection/abacus/abacus_pid1.wav,abacus
full_intersection/abacus/abacus_pid2.wav,abacus
full_intersection/abacus/abacus_pid3.wav,abacus
full_intersection/abacus/abacus_pid4.wav,abacus
full_intersection/abaddon/abaddon.wav,abaddon
full_intersection/abaddon/abaddon_pid1.wav,abaddon
full_intersection/abaddon/abaddon_pid2.wav,abaddon
full_intersection/abaddon/abaddon_pid3.wav,abaddon
full_intersection/abaddon/abaddon_pid4.wav,abaddon
full_intersection/abaft/abaft.wav,abaft
full_intersection/abaft/abaft_pid1.wav,abaft
full_intersection/abaft/abaft_pid2.wav,abaft
full_intersection/abaft/abaft_pid3.wav,abaft
full_intersection/abaft/abaft_pid4.wav,abaft
full_intersection/abandon/abandon.wav,abandon
full_intersection/abandon/abandon_pid1.wav,abandon
full_intersection/abandon/abandon_pid2.wav,abandon
full_intersection/abandon/abandon_pid3.wav,abandon
full_intersection/abandon/abandon_pid4.wav,abandon
full_intersection/abandoned/abandoned.wav,abandoned
full_intersection/abandoned/abandoned_pid1.wav,abandoned
full_intersection/abandoned/abandoned_pid2.wav,abandoned
full_intersection/abandoned/abandoned_pid3.wav,abandoned
full_intersection/abandoned/abandoned_pid4.wav,abandoned
full_intersection/abandonment/abandonment.wav,abandonment
full_intersection/abandonment/abandonment_pid1.wav,abandonment
full_intersection/abandonment/abandonment_pid2.wav,abandonment
full_intersection/abandonment/abandonment_pid3.wav,abandonment
full_intersection/abandonment/abandonment_pid4.wav,abandonment
full_intersection/abase/abase.wav,abase
full_intersection/abase/abase_pid1.wav,abase
full_intersection/abase/abase_pid2.wav,abase
full_intersection/abase/abase_pid3.wav,abase
full_intersection/abase/abase_pid4.wav,abase
full_intersection/abasement/abasement.wav,abasement
full_intersection/abasement/abasement_pid1.wav,abasement
full_intersection/abasement/abasement_pid2.wav,abasement
full_intersection/abasement/abasement_pid3.wav,abasement
full_intersection/abasement/abasement_pid4.wav,abasement
full_intersection/abashed/abashed.wav,abashed
full_intersection/abashed/abashed_pid1.wav,abashed
full_intersection/abashed/abashed_pid2.wav,abashed
full_intersection/abashed/abashed_pid3.wav,abashed
full_intersection/abashed/abashed_pid4.wav,abashed
full_intersection/abate/abate.wav,abate
full_intersection/abate/abate_pid1.wav,abate
full_intersection/abate/abate_pid2.wav,abate
full_intersection/abate/abate_pid3.wav,abate
full_intersection/abate/abate_pid4.wav,abate
full_intersection/abatement/abatement.wav,abatement
full_intersection/abatement/abatement_pid1.wav,abatement
full_intersection/abatement/abatement_pid2.wav,abatement
full_intersection/abatement/abatement_pid3.wav,abatement
full_intersection/abatement/abatement_pid4.wav,abatement
full_intersection/abatis/abatis.wav,abatis
full_intersection/abatis/abatis_pid1.wav,abatis
full_intersection/abatis/abatis_pid2.wav,abatis
full_intersection/abatis/abatis_pid3.wav,abatis
full_intersection/abatis/abatis_pid4.wav,abatis
full_intersection/abattoir/abattoir.wav,abattoir
full_intersection/abattoir/abattoir_pid1.wav,abattoir
full_intersection/abattoir/abattoir_pid2.wav,abattoir
full_intersection/abattoir/abattoir_pid3.wav,abattoir
full_intersection/abattoir/abattoir_pid4.wav,abattoir
full_intersection/abba/abba.wav,abba
full_intersection/abba/abba_pid1.wav,abba
full_intersection/abba/abba_pid2.wav,abba
full_intersection/abba/abba_pid3.wav,abba
full_intersection/abba/abba_pid4.wav,abba
full_intersection/abbacy/abbacy.wav,abbacy
full_intersection/abbacy/abbacy_pid1.wav,abbacy
full_intersection/abbacy/abbacy_pid2.wav,abbacy
full_intersection/abbacy/abbacy_pid3.wav,abbacy
full_intersection/abbacy/abbacy_pid4.wav,abbacy
full_intersection/abbe/abbe.wav,abbe
full_intersection/abbe/abbe_pid1.wav,abbe
full_intersection/abbe/abbe_pid2.wav,abbe
full_intersection/abbe/abbe_pid3.wav,abbe
full_intersection/abbe/abbe_pid4.wav,abbe
full_intersection/abbess/abbess.wav,abbess
full_intersection/abbess/abbess_pid1.wav,abbess
full_intersection/abbess/abbess_pid2.wav,abbess
full_intersection/abbess/abbess_pid3.wav,abbess
full_intersection/abbess/abbess_pid4.wav,abbess
full_intersection/abbey/abbey.wav,abbey
full_intersection/abbey/abbey_pid1.wav,abbey
full_intersection/abbey/abbey_pid2.wav,abbey
full_intersection/abbey/abbey_pid3.wav,abbey
full_intersection/abbey/abbey_pid4.wav,abbey
full_intersection/abbot/abbot.wav,abbot
full_intersection/abbot/abbot_pid1.wav,abbot
full_intersection/abbot/abbot_pid2.wav,abbot
full_intersection/abbot/abbot_pid3.wav,abbot
full_intersection/abbot/abbot_pid4.wav,abbot
full_intersection/abbreviate/abbreviate.wav,abbreviate
full_intersection/abbreviate/abbreviate_pid1.wav,abbreviate
full_intersection/abbreviate/abbreviate_pid2.wav,abbreviate
full_intersection/abbreviate/abbreviate_pid3.wav,abbreviate
full_intersection/abbreviate/abbreviate_pid4.wav,abbreviate
full_intersection/abbreviation/abbreviation.wav,abbreviation
full_intersection/abbreviation/abbreviation_pid1.wav,abbreviation
full_intersection/abbreviation/abbreviation_pid2.wav,abbreviation
full_intersection/abbreviation/abbreviation_pid3.wav,abbreviation
full_intersection/abbreviation/abbreviation_pid4.wav,abbreviation
full_intersection/abdicate/abdicate.wav,abdicate
full_intersection/abdicate/abdicate_pid1.wav,abdicate
full_intersection/abdicate/abdicate_pid2.wav,abdicate
full_intersection/abdicate/abdicate_pid3.wav,abdicate
full_intersection/abdicate/abdicate_pid4.wav,abdicate
full_intersection/abdication/abdication.wav,abdication
full_intersection/abdication/abdication_pid1.wav,abdication
full_intersection/abdication/abdication_pid2.wav,abdication
full_intersection/abdication/abdication_pid3.wav,abdication
full_intersection/abdication/abdication_pid4.wav,abdication
full_intersection/abdomen/abdomen.wav,abdomen
full_intersection/abdomen/abdomen_pid1.wav,abdomen
full_intersection/abdomen/abdomen_pid2.wav,abdomen
full_intersection/abdomen/abdomen_pid3.wav,abdomen
full_intersection/abdomen/abdomen_pid4.wav,abdomen
full_intersection/abdominal/abdominal.wav,abdominal
full_intersection/abdominal/abdominal_pid1.wav,abdominal
full_intersection/abdominal/abdominal_pid2.wav,abdominal
full_intersection/abdominal/abdominal_pid3.wav,abdominal
full_intersection/abdominal/abdominal_pid4.wav,abdominal
full_intersection/abducted/abducted.wav,abducted
full_intersection/abducted/abducted_pid1.wav,abducted
full_intersection/abducted/abducted_pid2.wav,abducted
full_intersection/abducted/abducted_pid3.wav,abducted
full_intersection/abducted/abducted_pid4.wav,abducted
full_intersection/abducting/abducting.wav,abducting
full_intersection/abducting/abducting_pid1.wav,abducting
full_intersection/abducting/abducting_pid2.wav,abducting
full_intersection/abducting/abducting_pid3.wav,abducting
full_intersection/abducting/abducting_pid4.wav,abducting
full_intersection/abduction/abduction.wav,abduction
full_intersection/abduction/abduction_pid1.wav,abduction
full_intersection/abduction/abduction_pid2.wav,abduction
full_intersection/abduction/abduction_pid3.wav,abduction
full_intersection/abduction/abduction_pid4.wav,abduction
full_intersection/abductor/abductor.wav,abductor
full_intersection/abductor/abductor_pid1.wav,abductor
full_intersection/abductor/abductor_pid2.wav,abductor
full_intersection/abductor/abductor_pid3.wav,abductor
full_intersection/abductor/abductor_pid4.wav,abductor
full_intersection/abeam/abeam.wav,abeam
full_intersection/abeam/abeam_pid1.wav,abeam
full_intersection/abeam/abeam_pid2.wav,abeam
full_intersection/abeam/abeam_pid3.wav,abeam
full_intersection/abeam/abeam_pid4.wav,abeam
full_intersection/abecedarian/abecedarian.wav,abecedarian
full_intersection/abecedarian/abecedarian_pid1.wav,abecedarian
full_intersection/abecedarian/abecedarian_pid2.wav,abecedarian
full_intersection/abecedarian/abecedarian_pid3.wav,abecedarian
full_intersection/abecedarian/abecedarian_pid4.wav,abecedarian
full_intersection/abed/abed.wav,abed
full_intersection/abed/abed_pid1.wav,abed
full_intersection/abed/abed_pid2.wav,abed
full_intersection/abed/abed_pid3.wav,abed
full_intersection/abed/abed_pid4.wav,abed
full_intersection/abel/abel.wav,abel
full_intersection/abel/abel_pid1.wav,abel
full_intersection/abel/abel_pid2.wav,abel
full_intersection/abel/abel_pid3.wav,abel
full_intersection/abel/abel_pid4.wav,abel
full_intersection/aberdeen/aberdeen.wav,aberdeen
full_intersection/aberdeen/aberdeen_pid1.wav,aberdeen
full_intersection/aberdeen/aberdeen_pid2.wav,aberdeen
full_intersection/aberdeen/aberdeen_pid3.wav,aberdeen
full_intersection/aberdeen/aberdeen_pid4.wav,aberdeen
full_intersection/aberrance/aberrance.wav,aberrance
full_intersection/aberrance/aberrance_pid1.wav,aberrance
full_intersection/aberrance/aberrance_pid2.wav,aberrance
full_intersection/aberrance/aberrance_pid3.wav,aberrance
full_intersection/aberrance/aberrance_pid4.wav,aberrance
full_intersection/aberrant/aberrant.wav,aberrant
full_intersection/aberrant/aberrant_pid1.wav,aberrant
full_intersection/aberrant/aberrant_pid2.wav,aberrant
full_intersection/aberrant/aberrant_pid3.wav,aberrant
full_intersection/aberrant/aberrant_pid4.wav,aberrant
full_intersection/aberration/aberration.wav,aberration
full_intersection/aberration/aberration_pid1.wav,aberration
full_intersection/aberration/aberration_pid2.wav,aberration
full_intersection/aberration/aberration_pid3.wav,aberration
